# 重生之超级战舰 - AI短剧分镜头提示词全集
# 每章60个分镜头，每个镜头5秒，共5分钟
# 格式：镜头编号 | 时长 | 画面描述 | 运镜 | 音效/对白

============================================================
【第1章 地球爆炸】
============================================================

镜头1 | 5秒 | 深邃的宇宙背景，银河横跨天际，无数星辰闪烁 | 缓慢推镜头 | 低沉的背景音乐，宇宙寂静声
镜头44 | 5秒 | 挂断电话，萧宇深吸一口气，望向窗外的太阳 | 中景镜头 | 深呼吸声
镜头45 | 5秒 | 太阳表面再次爆发，更强的耀斑喷发 | 远景镜头 | 能量爆发的低频声
镜头46 | 5秒 | 地球上，天空变得更加橙红，鸟类惊慌飞起 | 低角度镜头 | 鸟鸣声
镜头47 | 55秒 | 萧宇收拾桌面，将重要资料装入背包 | 中景镜头 | 物品整理声
镜头48 | 5秒 | 他关掉实验室的灯，黑暗中只有屏幕的微光 | 拉镜头 | 开关"咔哒"声
镜头49 | 5秒 | 走出大楼，夜色中的城市依然灯火通明，但气氛异样 | 广角镜头 | 城市环境音
镜头50 | 5秒 | 萧宇抬头再看一眼夜空中的太阳，转身走入人群 | 背影镜头 | 脚步声
镜头51 | 5秒 | 太阳的体积已经扩大到原来的两倍 | 远景镜头 | 宇宙背景音
镜头52 | 5秒 | 地球上的海洋开始异常涨潮，海啸预警响起 | 横移镜头 | 警报声
镜头53 | 5秒 | 萧宇坐在车里，看着手机里的战舰设计进度 | 车内视角 | 引擎低鸣
镜头54 | 5秒 | 设计进度条：10%...20%...30%...快速前进 | 屏幕特写 | 数字跳动声
镜头55 | 5秒 | 窗外，天空已经完全变成暗红色 | 车窗视角 | 风声
镜头56 | 5秒 | 萧宇闭上眼睛，脑海中浮现战舰的全貌 | 主观镜头 | 音乐柔和
镜头57 | 5秒 | 闪回：未来的萧宇在战舰上看着地球毁灭 | 快速闪回 | 悲伤的音乐
镜头58 | 5秒 | 回到现实，萧宇睁开眼睛，眼神更加坚定 | 面部特写 | 心跳声
镜头59 | 5秒 | 太阳占据了大半个天空，地球表面被照亮成金红色 | 地球表面视角 | 低沉的轰鸣
镜头60 | 5秒 | 黑屏，字幕"第一章 地球爆炸"，音乐渐弱 | 固定镜头 | 音乐收尾

============================================================
【第2章 月球和木星相撞！】
============================================================

镜头1 | 5秒 | 太空中，月球轨道明显异常，缓缓偏离原有轨迹 | 远景镜头 | 宇宙寂静
镜头2 | 5秒 | 月球表面细节清晰可见，环形山在阳光照射下分明 | 缓慢推镜头 | 无声
镜头3 | 5秒 | 月球运动轨迹的模拟动画，红色箭头指向木星方向 | 全息投影视角 | 电子提示音
镜头4 | 5秒 | 木星占据大半个画面，巨大的体积令人震撼 | 远景镜头 | 木星大气低鸣
镜头5 | 5秒 | 月球以肉眼可见的速度接近木星 | 跟随镜头 | 紧张的音乐渐起
镜头6 | 5秒 | 木星的大气层翻滚，大红斑如血色之眼 | 缓慢旋转镜头 | 风暴声
镜头7 | 5秒 | 月球与木星的距离 rapidly 缩短，两者在画面中越来越大 | 快速推镜头 | 音乐加速
镜头8 | 5秒 | 撞击前的瞬间，月球表面开始因木星引力变形 | 特写镜头 | 引力撕裂声
镜头9 | 5秒 | 月球撞击木星大气层，产生耀眼的白色闪光 | 固定镜头 | 巨大的撞击声
镜头10 | 5秒 | 冲击波从撞击点向外扩散，木星大气掀起巨浪 | 拉镜头 | 低频冲击波
镜头11 | 5秒 | 木星表面被撞击出一个巨大的凹陷，气体喷涌而出 | 远景镜头 | 气体喷射声
镜头12 | 5秒 | 月球碎片四溅，如子弹般向四面八方飞散 | 360度环绕镜头 | 碎片飞散的音效
镜头13 | 5秒 | 巨大的碎片块向太阳系内侧飞来 | 跟随镜头 | 紧张的音乐
镜头14 | 5秒 | 地球上的观测者看到木星突然变亮 | 地面视角 | 惊叹声
镜头15 | 5秒 | 天文台内，科学家们目瞪口呆地看着显示屏 | 中景镜头 | 仪器报警声
镜头16 | 5秒 | 萧宇在战舰上冷静地记录数据，表情波澜不惊 | 中景镜头 | 键盘声
镜头17 | 5秒 | 战舰内部，全息投影展示太阳系天体的实时位置 | 环拍镜头 | 全息投影音效
镜头18 | 5秒 | 木星周围的碎片带正在形成，如新的环系统 | 远景镜头 | 碎片碰撞声
镜头19 | 5秒 | 一块大型碎片擦过木星，激起更大的气体喷发 | 特写镜头 | 气体爆炸声
镜头20 | 5秒 | 碎片与木星其他卫星碰撞，产生连锁反应 | 广角镜头 | 连续爆炸声
镜头21 | 5秒 | 土星在远处静静漂浮，其光环在碎片雨中闪烁 | 远景镜头 | 无声
镜头22 | 5秒 | 小行星带受到引力扰动，大量小行星开始移动 | 广角镜头 | 引力波动声
镜头23 | 5秒 | 战舰的防护罩泛起蓝色波纹，抵挡碎片冲击 | 外部视角 | 防护罩嗡鸣
镜头24 | 5秒 | 萧宇站在指挥台上，双手背在身后 | 中景镜头 | 沉稳的音乐
镜头25 | 5秒 | 屏幕上显示碎片带的成分分析数据 | 屏幕特写 | 数据处理音效
镜头26 | 5秒 | 数据表明碎片中含有丰富的矿物质 | 图表特写 | 提示音
镜头27 | 5秒 | 萧宇嘴角微微上扬，露出一丝微笑 | 面部特写 | 音乐转缓
镜头28 | 5秒 | 他下达指令，战舰开始向碎片带移动 | 中景镜头 | 命令声
镜头29 | 5秒 | 战舰引擎点火，蓝色尾焰划破黑暗 | 外部镜头 | 引擎轰鸣
镜头30 | 5秒 | 战舰在太空中缓慢转向，庞大的身躯优雅移动 | 环绕镜头 | 机械运转声
镜头31 | 5秒 | 木星在背景中继续翻滚，疤痕清晰可见 | 远景镜头 | 木星风暴声
镜头32 | 5秒 | 战舰接近第一块大型碎片 | 跟随镜头 | 紧张的音乐
镜头33 | 5秒 | 碎片表面粗糙，布满撞击痕迹 | 特写镜头 | 无声
镜头34 | 5秒 | 战舰释放捕获网，能量场包裹碎片 | 外部视角 | 能量场嗡鸣
镜头35 | 5秒 | 碎片被拉入战舰的捕获舱 | 内部视角 | 机械锁定声
镜头36 | 5秒 | 分析舱内，碎片的成分被快速检测 | 显微视角 | 分析仪器声
镜头37 | 5秒 | 结果显示富含铁、镍、钴等金属 | 屏幕特写 | 提示音
镜头38 | 5秒 | 萧宇点头，满意地看着数据 | 中景镜头 | 满意的叹息
镜头39 | 5秒 | 更多的碎片被捕获，堆积如山 | 广角镜头 | 金属碰撞声
镜头40 | 5秒 | 战舰的加工车间开始运转 | 内部镜头 | 机器轰鸣
镜头41 | 5秒 | 熔炉中，金属被高温熔化，发出橙红色光芒 | 特写镜头 | 熔化声
镜头42 | 5秒 | 铸造车间，金属被铸造成各种构件 | 横移镜头 | 铸造设备声
镜头43 | 5秒 | 萧宇在监控室查看生产进度 | 中景镜头 | 监控提示音
镜头44 | 5秒 | 进度条显示战舰升级完成度：15%...20%... | 屏幕特写 | 数字跳动
镜头45 | 5秒 | 木星的方向传来持续的微弱震动 | 传感器视角 | 低频震动
镜头46 | 5秒 | 新的碎片碰撞在木星发生 | 远景镜头 | 撞击声
镜头47 | 5秒 | 萧宇皱眉，重新评估风险 | 面部特写 | 音乐紧张
镜头48 | 5秒 | 他调整战舰位置，远离危险区域 | 指挥台视角 | 命令声
镜头49 | 5秒 | 战舰缓缓后退，与碎片带保持安全距离 | 外部镜头 | 引擎反向推力
镜头50 | 5秒 | 木星在背景中继续它的"表演" | 远景镜头 | 史诗感的音乐
镜头51 | 5秒 | 碎片带在木星引力作用下逐渐形成环状 | 延时摄影效果 | 时间流逝音效
镜头52 | 5秒 | 萧宇在笔记上记录观察结果 | 特写镜头 | 笔尖沙沙声
镜头53 | 5秒 | 笔记内容："木星环形成，资源丰富，可利用" | 文字特写 | 无声
镜头54 | 5秒 | 战舰的太阳能板展开，吸收阳光 | 外部镜头 | 机械展开声
镜头55 | 5秒 | 能源储备条上涨 | 屏幕特写 | 充电音效
镜头56 | 5秒 | 萧宇望向远方的太阳 | 主观镜头 | 音乐转深沉
镜头57 | 5秒 | 太阳的光芒在太空中显得愈发强烈 | 远景镜头 | 太阳辐射声
镜头58 | 5秒 | 萧宇低声自语："时间不多了" | 特写镜头 | 回声效果
镜头59 | 5秒 | 战舰引擎再次点火，加速前进 | 外部镜头 | 引擎轰鸣
镜头60 | 5秒 | 黑屏，字幕"第二章 月球和木星相撞！" | 固定镜头 | 音乐收尾

============================================================
【第3章 木星风】
============================================================

镜头1 | 5秒 | 战舰从远处接近木星，巨大的体积压迫感 | 远景推镜头 | 低沉的音乐
镜头2 | 5秒 | 木星的大气层细节，条纹状的云层翻滚 | 缓慢推镜头 | 大气流动声
镜头3 | 5秒 | 战舰靠近木星磁层，传感器开始剧烈波动 | 内部视角 | 警报滴滴声
镜头4 | 5秒 | 舷窗外，太空开始出现彩色极光般的辉光 | 外部镜头 | 电磁嗡鸣
镜头5 | 5秒 | 萧宇在指挥台上查看辐射读数，数值飙升 | 中景镜头 | 警报声加剧
镜头6 | 5秒 | 辐射防护等级自动提升到最高 | 屏幕特写 | 系统提示音
镜头7 | 5秒 | 战舰外壳泛起淡蓝色的防护场 | 外部环绕镜头 | 防护场嗡鸣
镜头8 | 5秒 | 木星的风暴眼——大红斑出现在视野中 | 远景镜头 | 史诗感的音乐
镜头9 | 5秒 | 大红斑如一只巨大的血色眼睛，缓慢旋转 | 缓慢推镜头 | 风暴的呼啸
镜头10 | 5秒 | 战舰靠近大红斑边缘，气流剧烈扰动 | 晃动镜头 |  turbulence音效
镜头11 | 5秒 | 舰体剧烈摇晃，警报声大作 | 内部手持镜头 | 摇晃的机械声
镜头12 | 5秒 | 萧宇紧紧抓住扶手，表情镇定 | 中景镜头 | 命令声："稳定姿态！"
镜头13 | 5秒 | 推进器点火，修正战舰姿态 | 外部镜头 | 推进器喷射
镜头14 | 5秒 | 气流逐渐平缓，战舰稳住身形 | 固定镜头 | 音乐转缓
镜头15 | 5秒 | 萧宇松口气，走到观测台前 | 跟拍镜头 | 脚步声
镜头16 | 5秒 | 通过光学望远镜观察大红斑内部 | 主观镜头 | 望远镜调节声
镜头17 | 5秒 | 大红斑内部，气体如山脉般翻滚 | 放大镜头 | 低沉的风暴声
镜头18 | 5秒 | 光谱分析显示丰富的氢氦元素 | 屏幕特写 | 分析音效
镜头19 | 5秒 | 萧宇的眼睛亮起来 | 面部特写 | 音乐转激昂
镜头20 | 5秒 | 他快速在控制台上输入指令 | 手部特写 | 键盘声
镜头21 | 5秒 | 释放采集无人机群 | 外部镜头 | 发射装置声
镜头22 | 5秒 | 数十架无人机如蜜蜂般飞向木星大气 | 跟随镜头 | 飞行音效
镜头23 | 5秒 | 无人机进入大气层，被高温包围 | 无人机视角 | 高温嘶嘶声
镜头24 | 5秒 | 无人机采集氢氦气体样本 | 特写镜头 | 采集机械声
镜头25 | 5秒 | 样本数据传回战舰 | 屏幕视角 | 数据传输音
镜头26 | 5秒 | 数据显示气体纯度极高 | 图表特写 | 提示音
镜头27 | 5秒 | 萧宇露出笑容 | 面部特写 | 轻松的音乐
镜头28 | 5秒 | 更多无人机被释放 | 外部镜头 | 连续发射声
镜头29 | 5秒 | 采集舰队深入木星大气 | 广角镜头 | 史诗音乐
镜头30 | 5秒 | 木星深处的闪电在云层中闪烁 | 远景镜头 | 雷声（低频）
镜头31 | 5秒 | 一道巨大的闪电劈下，贯穿整个大气层 | 慢镜头 | 闪电爆裂声
镜头32 | 5秒 | 一架无人机被闪电击中，瞬间销毁 | 特写镜头 | 爆炸声
镜头33 | 5秒 | 萧宇皱眉，调整采集策略 | 中景镜头 | 命令声
镜头34 | 5秒 | 无人机群改变队形，避开高能区域 | 上帝视角 | 电子提示音
镜头35 | 5秒 | 新的采集区域相对平静 | 平稳镜头 | 舒缓音乐
镜头36 | 5秒 | 无人机满载气体样本返回 | 跟随镜头 | 返航提示音
镜头37 | 5秒 | 样本注入战舰的储存罐 | 内部镜头 | 气体注入声
镜头38 | 5秒 | 燃料储量条上涨 | 屏幕特写 | 充能音效
镜头39 | 5秒 | 萧宇看着储量条，满意地点头 | 中景镜头 | 满意的叹息
镜头40 | 5秒 | 木星的风暴在外部继续肆虐 | 外部镜头 | 风暴声
镜头41 | 5秒 | 防护罩在风暴中闪烁 | 外部环绕镜头 | 防护罩应力声
镜头42 | 5秒 | 萧宇检查防护罩状态 | 屏幕视角 | 诊断音效
镜头43 | 5秒 | 防护罩耐久度下降到78% | 数值特写 | 警告音
镜头44 | 5秒 | 他决定撤离 | 中景镜头 | 命令声："准备撤离"
镜头45 | 5秒 | 收回剩余无人机 | 外部镜头 | 回收机械声
镜头46 | 5秒 | 战舰引擎点火，开始远离木星 | 外部镜头 | 引擎轰鸣
镜头47 | 5秒 | 木星在背景中逐渐变小 | 拉镜头 | 音乐转开阔
镜头48 | 5秒 | 萧宇在导航台上设定新航线 | 中景镜头 | 导航音效
镜头49 | 5秒 | 星图上显示下一个目标点 | 屏幕特写 | 地图音效
镜头50 | 5秒 | 目标是太阳方向 | 路径特写 | 提示音
镜头51 | 5秒 | 萧宇起身，走向观景窗 | 跟拍镜头 | 脚步声
镜头52 | 5秒 | 望着远方的太阳 | 主观镜头 | 沉思的音乐
镜头53 | 5秒 | 太阳的光芒在黑暗中格外耀眼 | 远景镜头 | 辐射声
镜头54 | 5秒 | 萧宇低声说："下一步" | 特写镜头 | 回声
镜头55 | 5秒 | 战舰加速，蓝色尾焰拉长 | 外部镜头 | 引擎加速
镜头56 | 5秒 | 木星在身后渐渐远去 | 远景镜头 | 音乐渐远
镜头57 | 5秒 | 战舰进入直线航行 | 跟随镜头 | 平稳的引擎声
镜头58 | 5秒 | 太空中只有战舰孤独前行 | 广角镜头 | 宇宙寂静
镜头59 | 5秒 | 萧宇的背影在控制台前 | 远景镜头 | 沉稳的音乐
镜头60 | 5秒 | 黑屏，字幕"第三章 木星风" | 固定镜头 | 音乐收尾
