prompt,image_prompt,width,height,num_frames,frame_rate,seed,negative_prompt
"萧宇观测到木星表面变成了暗红色仿佛在被鲜血覆盖狂暴气旋在木星表面肆虐卫星轨道被严重干扰","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一场景:木星近景。巨大的木星呈现暗红色恐怖面容表面无数狂暴气旋如漩涡般旋转翻滚撞击留下的伤痕清晰可见暗红色纹路遍布半个星球。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"萧宇通过望远镜观察到木星撞击点发生了核聚变现象巨大的磁场约束着聚变反应堆","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一主角:天才科学家萧宇(35岁睿智沉稳黑发穿深色实验服)。统一场景:飞船观测窗前。萧宇的脸被观测窗上映射的木星核聚变蓝光照亮木星表面磁场线以可视化形态呈现如同无形牢笼。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"萧宇意识到这是大自然在教他可控核聚变技术他心中涌起难以抑制的激动和兴奋","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一主角:天才科学家萧宇(35岁睿智沉稳黑发穿深色实验服)。统一场景:飞船主控室。萧宇双手紧握成拳身体微微前倾双眼中闪烁着狂热光芒全息屏幕上显示着核聚变相关的物理公式。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"萧宇疯狂收集可控核聚变数据无数公式和参数在计算板上飞速运算他找到了磁场约束的核心秘密","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一主角:天才科学家萧宇(35岁睿智沉稳黑发穿深色实验服)。统一场景:飞船数据分析室。密密麻麻的数学公式和物理方程从全息屏幕瀑布般倾泻而下磁场分布模型等离子体约束参数在三维空间中旋转展示。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"木星风带来的高能带电粒子流摧毁了萧宇一半设备中央电脑运算能力降到百分之三十","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一场景:飞船内部灾后景象。萧宇走在昏暗的飞船走廊中两侧设备面板大多已经熄灭只有零星几盏指示灯还在微弱闪烁地面散落着烧焦的电子元件。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"萧宇在火星背面重新躲藏起来集中所有剩余计算力攻克可控核聚变难题他要用五天时间完成这项伟业","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一主角:天才科学家萧宇(35岁睿智沉稳黑发穿深色实验服)。统一场景:飞船主控室。萧宇蜷缩在控制台前周围全息屏幕显示着倒计时五天的红色数字他双手在空中快速划动调整核聚变模型。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"五天时间转瞬即逝萧宇成功掌握了磁场约束可控核聚变的核心技术他心中狂吼建设庞大的宇宙舰队","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一主角:天才科学家萧宇(35岁睿智沉稳黑发穿深色实验服)。统一场景:飞船主控室内。萧宇仰头靠在椅背上双眼中闪烁着胜利的光芒周围全息屏幕投影出宏伟的宇宙舰队构想图。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"萧宇开始着手修复受损的飞船材料加工间的机械臂开始工作修补船体上的破洞","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一场景:飞船制造车间。数十条机械臂在明亮的灯光下进行焊接和装配作业火花四溅中船体破洞被一点点修补新制造的仪器设备被组装完毕。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"萧宇在核聚变理论突破后重新规划航线决定不再前往土卫六而是直接利用太阳引力加速","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一主角:天才科学家萧宇(35岁睿智沉稳黑发穿深色实验服)。统一场景:飞船导航室。萧宇站在巨大的星图全息投影前手指划过一条绕过太阳的抛物线轨迹星图上标注着各行星位置和引力加速点。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"萧宇的飞船从火星轨道出发朝太阳方向飞去发动机喷射出稳定的蓝色等离子火焰","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一场景:太空。萧宇的小型飞船尾部喷射出明亮的蓝色等离子火焰从火星轨道向太阳方向加速飞去背景是火星赤红色的半球体。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"飞船接近太阳太阳表面爆发的巨大日冕物质抛射如红色触手伸向太空威胁着萧宇的飞船","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一场景:太阳近旁太空。太阳表面爆发巨大的日冕物质抛射如红色触手般伸向太空飞船在日冕边缘高速飞行船体外层隔热板在高温下发出暗红色光芒。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"萧宇操控飞船紧贴太阳边缘掠过太阳能板和隔热层承受着前所未有的高温考验","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一主角:天才科学家萧宇(35岁睿智沉稳黑发穿深色实验服)。统一场景:飞船驾驶舱。萧宇紧盯着前方太阳的炽热光芒仪表盘温度读数不断飙升飞船紧贴日冕边缘飞行。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"太阳引力将飞船加速到惊人的二十六公里每秒萧宇的飞船如同一颗子弹被弹射向外太阳系","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一场景:太空加速飞行。飞船尾部喷射出超亮蓝色等离子尾焰在黑暗太空中划出长长弧线背景中太阳已经变成明亮光点飞船以不可思议速度远离太阳。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"地球轨道上现在漂浮着地球爆炸后形成的碎片带大小不一的岩石在太空中缓慢漂移","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一场景:地球轨道碎片带。曾经蔚蓝的地球轨道位置现在布满大小不一的岩石碎片在太空中缓慢漂移被太阳照亮的碎片表面反射出钻石般的光芒。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"萧宇的飞船进入地球碎片带周围到处是曾经属于地球的建筑材料钢铁和混凝土碎片","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一场景:地球碎片带内部。从飞船驾驶舱视角看出去密密麻麻的碎片从舷窗旁飘过有些碎片上还残留着建筑物的痕迹——扭曲的金属框架和碎裂的混凝土块。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"萧宇操控飞船在碎片带中谨慎穿行雷达不断发出碰撞预警他必须避开足够大的碎片","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一主角:天才科学家萧宇(35岁睿智沉稳黑发穿深色实验服)。统一场景:飞船驾驶舱。萧宇双手紧握控制杆专注地盯着前方密集的碎片群飞船侧推进器不时点火进行微调避让。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"萧宇在碎片带中发现了一块巨大的钢铁建筑残骸他决定冒险收集这块宝贵的金属材料","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一场景:飞船外部作业。萧宇的飞船伸出机械臂靠近一块巨大的钢铁建筑残骸残骸表面锈迹斑斑但仍能看到钢筋和钢板的结构在太阳光下反射出金属光泽。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"萧宇将收集到的金属碎片送入材料加工间机器人开始对这些回收材料进行分类处理","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一场景:飞船材料加工间。机器人正在加工台上切割分类收集来的金属碎片火花四溅中不同材质的金属被分拣到不同的储藏容器中。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"萧宇在碎片带中发现了彗星——大量被太阳蒸发的水分子凝结成的冰晶团","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一场景:地球轨道彗星群。一群白色彗星在太阳照射下发出明亮辉光长长的彗尾交织在一起形成一片白色雾霭一艘小飞船正小心翼翼穿行其中。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"萧宇展开巨大的收集装置试图从彗星蒸汽云中收集水分为飞船补充燃料","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一场景:飞船外部收集作业。飞船两侧展开巨大的网状收集器像蜘蛛网在彗星蒸汽云中缓缓推进白色水分子被收集器吸附太阳能电离装置发出紫色光芒。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"收集工作极其艰难二十四小时只收集到不足一千克的物质其中水含量不到百分之三十","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一主角:天才科学家萧宇(35岁睿智沉稳黑发穿深色实验服)。统一场景:飞船材料储藏间。萧宇站在小小的天平前面前放着一小撮灰白色星际物质屏幕显示水含量百分之二十八萧宇单手扶额。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"萧宇没有放弃继续操控飞船在彗星云中穿梭收集每一滴水分子他深知这是唯一的希望","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一主角:天才科学家萧宇(35岁睿智沉稳黑发穿深色实验服)。统一场景:飞船驾驶舱。萧宇满脸疲惫但眼神坚定双手稳稳操控着飞船在彗星云雾中穿行收集器的网格在白色蒸汽中缓缓移动。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"萧宇在漫长的航行中找到了天苑四恒星的方向那颗拥有行星的恒星发出温暖的金色光芒","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一主角:天才科学家萧宇(35岁睿智沉稳黑发穿深色实验服)。统一场景:飞船观测窗前。深邃黑色天幕中一颗金色恒星散发柔和稳定光芒那就是天苑四距离太阳十点五光年。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"萧宇对着天苑四的方向默默许愿希望能成功获取液氢液氧然后前往天苑四完成恒星际航行","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一主角:天才科学家萧宇(35岁睿智沉稳黑发穿深色实验服)。统一场景:飞船观测窗前。萧宇双手按在舷窗玻璃上额头微微前倾金色星光映照在他坚毅面庞眼神中有憧憬也有审慎。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"太阳风带着木星撞击后的高能粒子横扫整个太阳系小行星带被彻底打乱","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一场景:太阳系全景。太阳表面持续喷射着高能粒子流如红色触手伸向四面八方小行星带中的岩石碎片被粒子流推挤着偏离原有轨道四处飞散。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"萧宇的飞船继续向土星方向航行沿途经过木星时再次被木星引力加速","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一场景:木星附近太空。巨大木星占据画面绝大部分暗红色球面上狂暴气旋清晰可见萧宇的飞船像一粒尘埃从木星边缘安全掠过。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"飞船穿越小行星带周围无数岩石碎片在舷窗外飞速掠过萧宇紧张操控规避机动","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一场景:太空航行。一艘小飞船在散布大量岩石碎片的太空中穿行大小不一的陨石从舷窗旁飞速掠过导航屏幕上布满红色碰撞预警标记。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"萧宇操控飞船上的机器人用剩余材料制作了简易滤网在星际空间中收集冰粒和灰尘","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一主角:天才科学家萧宇(35岁睿智沉稳黑发穿深色实验服)。统一场景:飞船制造间。小型机器人在制造工作台前组装巨大的网状结构萧宇的全息影像在旁边指导窗外是缓慢飘过的星际冰粒。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"萧宇在太阳系边缘回望曾经的家那个已经不复存在的地球轨道只剩下碎片云在闪烁","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一主角:天才科学家萧宇(35岁睿智沉稳黑发穿深色实验服)。统一场景:飞船观测窗前。萧宇的侧影映在巨大舷窗上窗外是曾经地球轨道的位置现在只剩下一片由岩石碎片组成的暗淡光带。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"萧宇重新启动了核聚变反应堆测试系统蓝色等离子环在磁场约束下稳定燃烧","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一场景:核聚变反应堆舱室。巨大环形反应堆舱室内一道纯净耀眼的蓝色等离子环在超强磁场中被完美约束稳定旋转燃烧释放无穷能量。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"萧宇感受到手上传来的无限能源力量他知道星际航行的最大桎梏已经被彻底打破","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一主角:天才科学家萧宇(35岁睿智沉稳黑发穿深色实验服)。统一场景:核聚变反应堆舱室内。萧宇伸出右手感受从反应堆释放的能量场手掌周围空间因能量波动微微扭曲深蓝色等离子光芒映照在他脸上。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"萧宇开始大规模建造星际战舰材料加工间日夜不停运转一艘又一艘战舰被组装出来","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一场景:太空造船厂。巨大的太空造船厂中数百条机械生产线同时在不同尺寸战舰上进行组装焊接从护卫舰到战列舰一艘艘威武星际战舰排列在船坞中。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"萧宇的飞船装载了充足的燃料和核聚变动力源终于有能力继续远征土星","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一场景:太空。萧宇修复后的星际飞船尾部喷射出强劲的蓝色核聚变推进火焰在土星金色光环的背景下缓缓加速驶向深空。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"萧宇在观察舱内望着远方土星的六边形风暴和美丽光环心中盘算着征服宇宙的计划","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一主角:天才科学家萧宇(35岁睿智沉稳黑发穿深色实验服)。统一场景:飞船观察舱。萧宇侧影映在巨大观察窗上窗外是壮美的土星金色光环如天使之翼在土星周围闪耀北极六边形风暴清晰可见。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"萧宇开始规划建造庞大的星际舰队全息屏幕展示着从护卫舰到主力战舰再到巨型母舰的蓝图","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一主角:天才科学家萧宇(35岁睿智沉稳黑发穿深色实验服)。统一场景:飞船指挥中心。巨大全息投影台上展示壮观的星际舰队蓝图数十艘不同型号战舰排列成战斗阵型萧宇手指在全息图上划过。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"星际舰队集结完毕数百艘战舰在太空中排列成宏大战斗阵列萧宇站在旗舰上准备驶向银河","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一主角:天才科学家萧宇(35岁睿智沉稳黑发穿深色实验服)。统一场景:太空中星际舰队。数百艘星际战舰在群星之间排列成宏大战斗阵列引擎蓝色火焰如星河闪烁萧宇站在旗舰舰桥前目光深邃。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"萧宇驾驶旗舰穿越土星环在璀璨的冰晶环带中穿行阳光折射出七彩光芒","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一场景:土星环太空。一艘旗舰级别的星际战舰在土星巨大的冰晶环带中穿行无数冰块和岩石碎片在阳光照射下折射出七彩光芒战舰的蓝色引擎火焰与土星光环交相辉映。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"萧宇在土卫六上收集甲烷燃料土卫六浓厚的大气层中隐藏着近乎无限的能源","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一场景:土卫六表面。土卫六橙黄色的浓厚大气层笼罩着整个星球表面萧宇的飞船降落在一片甲烷湖泊旁巨大的储罐正在从大气中抽取甲烷气体。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"萧宇在土卫六的甲烷湖旁建立临时燃料补给站为接下来的恒星际航行做准备","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一主角:天才科学家萧宇(35岁睿智沉稳黑发穿深色实验服)。统一场景:土卫六表面。萧宇站在巨大的燃料补给设施前周围是排列整齐的甲烷储罐橙黄色的土卫六大气在背景中翻滚。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"萧宇的星际舰队从土星轨道出发朝着天苑四星系全速前进核聚变引擎喷射出耀眼蓝光","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一场景:深空舰队。数百艘星际战舰在土星金色光环的映衬下排列成战斗阵列尾部喷射出耀眼的蓝色核聚变推进火焰朝着远方天苑四的方向加速驶去。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"萧宇站在旗舰舰桥上凝视着远方天苑四的方向心中默念着征服星辰大海的誓言","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一主角:天才科学家萧宇(35岁睿智沉稳黑发穿深色实验服)。统一场景:旗舰舰桥。萧宇独自站在巨大的弧形舰桥窗前身后是浩瀚无垠的银河星光映照在他坚毅的侧脸上。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"星际舰队穿越星际介质在漫长的恒星际航行中萧宇用可控核聚变技术不断升级战舰","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一场景:星际舰队航行。数百艘战舰在黑暗的星际空间中排成长列每艘战舰尾部都喷射着稳定的蓝色核聚变火焰舰队在无垠黑暗中如同一条发光的巨龙。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"萧宇在航行中观测到更多恒星系每个恒星系都可能蕴藏着新的资源和机遇","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一主角:天才科学家萧宇(35岁睿智沉稳黑发穿深色实验服)。统一场景:飞船观测窗前。萧宇站在望远镜前观测着一个全新的恒星系一颗橙色恒星周围环绕着数颗行星其中一颗岩石行星上似乎有液态水的迹象。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"萧宇的舰队抵达天苑四星系天苑四的金色光芒照亮了整个舰队在星河中熠熠生辉","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一场景:天苑四星系入口。天苑四金色恒星散发着温暖而稳定的光芒数百艘星际战舰从恒星的光芒中穿入星系内部远处一颗巨大的气态行星在轨道上缓缓运行。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"萧宇站在天苑四星系的气态巨行星轨道上开始采集核聚变燃料氦三","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一场景:天苑四气态巨行星轨道。巨大的气态行星占据了大部分视野萧宇的飞船在行星大气层外围展开巨大的气体采集装置从行星大气中提取氦三核聚变燃料。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"天苑四周围的两条小行星带为萧宇提供了丰富的建筑材料他命令战舰开始开采","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一场景:天苑四小行星带。两条密集的小行星带环绕着天苑四运行萧宇的战舰群在 asteroid belt 中穿梭机械臂捕获着一颗颗富含金属的陨石拖入飞船。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"萧宇在天苑四建立了第一个星际前哨站标志着人类文明正式开启了星际殖民时代","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一主角:天才科学家萧宇(35岁睿智沉稳黑发穿深色实验服)。统一场景:天苑四星际前哨站。一座宏伟的太空站建在气态巨行星的轨道上前哨站周围停泊着数十艘战舰萧宇站在观景台上望着远方天苑四的金色光芒。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"萧宇的星际舰队在天苑四星系休整后继续向银河系深处进发他的征服之路才刚刚开始","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一主角:天才科学家萧宇(35岁睿智沉稳黑发穿深色实验服)。统一场景:天苑四星系出口。萧宇站在旗舰舰桥上身后是正在加速远去的星际舰队前方是更加深邃的银河系中心方向无数恒星的光芒在黑暗中闪烁。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
"银河系的壮丽全景展现在萧宇面前悬臂上数以千亿计的恒星如同钻石银河中心超大质量黑洞散发着神秘而威严的光芒","电影级科幻摄影宏大史诗感8K超清高对比度冷暖调色电影级景深胶片颗粒质感。统一主角:天才科学家萧宇(35岁睿智沉稳黑发穿深色实验服)。统一场景:旗舰舰桥全景。从舰桥的巨大观景窗看出去银河系的全貌如同一幅壮丽的油画银河中心超大质量黑洞散发着幽蓝和紫色交织的神秘光芒无数恒星如钻石般镶嵌在黑色天鹅绒幕布上。",1152,768,81,24,42,"画面闪烁角色变形结构错位跳帧画面抖动模糊过度曝光"
